exp = sequencial, execution = 1, benchmark = trmm, size_of_data = MINI_DATASET,
version = OMP, NI = 4096, ORIG = 0, OMP = 39871982195, 
exp = sequencial, execution = 5, benchmark = trmm, size_of_data = EXTRALARGE_DATASET,
40.013573
version = OMP, NI = 4096, ORIG = 0, OMP = 40013569873, 
exp = sequencial, execution = 6, benchmark = trmm, size_of_data = EXTRALARGE_DATASET,
39.796197
version = OMP, NI = 4096, ORIG = 0, OMP = 39796193675, 
exp = sequencial, execution = 7, benchmark = trmm, size_of_data = EXTRALARGE_DATASET,
39.336742
version = OMP, NI = 4096, ORIG = 0, OMP = 39336738476, 
exp = sequencial, execution = 8, benchmark = trmm, size_of_data = EXTRALARGE_DATASET,
39.283998
version = OMP, NI = 4096, ORIG = 0, OMP = 39283995194, 
exp = sequencial, execution = 9, benchmark = trmm, size_of_data = EXTRALARGE_DATASET,
39.197525
version = OMP, NI = 4096, ORIG = 0, OMP = 39197521692, 
exp = sequencial, execution = 10, benchmark = trmm, size_of_data = EXTRALARGE_DATASET,
40.281879
version = OMP, NI = 4096, ORIG = 0, OMP = 40281874950, 
