exp,execution,benchmark,size_of_data,num_threads,version,num_threads,NI,ORIG,OMP
taskloop,4,trmm,MINI_DATASET,8,OMP,8,256,0,2907500
taskloop,5,trmm,MINI_DATASET,8,OMP,8,256,0,2142480
taskloop,6,trmm,MINI_DATASET,8,OMP,8,256,0,2387371
taskloop,7,trmm,MINI_DATASET,8,OMP,8,256,0,5742782
taskloop,8,trmm,MINI_DATASET,8,OMP,8,256,0,5388805
taskloop,9,trmm,MINI_DATASET,8,OMP,8,256,0,12520897
taskloop,10,trmm,MINI_DATASET,8,OMP,8,256,0,2188786
taskloop,1,trmm,MINI_DATASET,16,OMP,16,256,0,1618688
taskloop,2,trmm,MINI_DATASET,16,OMP,16,256,0,15493667
taskloop,3,trmm,MINI_DATASET,16,OMP,16,256,0,1622828
taskloop,4,trmm,MINI_DATASET,16,OMP,16,256,0,8477512
taskloop,5,trmm,MINI_DATASET,16,OMP,16,256,0,25337153
taskloop,6,trmm,MINI_DATASET,16,OMP,16,256,0,1824232
taskloop,7,trmm,MINI_DATASET,16,OMP,16,256,0,15941915
taskloop,8,trmm,MINI_DATASET,16,OMP,16,256,0,1619773
taskloop,9,trmm,MINI_DATASET,16,OMP,16,256,0,1461653
taskloop,10,trmm,MINI_DATASET,16,OMP,16,256,0,3984896
taskloop,1,trmm,SMALL_DATASET,1,OMP,1,512,0,71719058
taskloop,2,trmm,SMALL_DATASET,1,OMP,1,512,0,73966664
taskloop,3,trmm,SMALL_DATASET,1,OMP,1,512,0,71671491
taskloop,4,trmm,SMALL_DATASET,1,OMP,1,512,0,70990276
taskloop,5,trmm,SMALL_DATASET,1,OMP,1,512,0,72383517
taskloop,6,trmm,SMALL_DATASET,1,OMP,1,512,0,83938607
taskloop,7,trmm,SMALL_DATASET,1,OMP,1,512,0,72265285
taskloop,8,trmm,SMALL_DATASET,1,OMP,1,512,0,82889354
taskloop,9,trmm,SMALL_DATASET,1,OMP,1,512,0,72007608
taskloop,10,trmm,SMALL_DATASET,1,OMP,1,512,0,71115058
taskloop,1,trmm,SMALL_DATASET,2,OMP,2,512,0,62743911
taskloop,2,trmm,SMALL_DATASET,2,OMP,2,512,0,61431989
taskloop,3,trmm,SMALL_DATASET,2,OMP,2,512,0,62207739
taskloop,4,trmm,SMALL_DATASET,2,OMP,2,512,0,53838880
taskloop,5,trmm,SMALL_DATASET,2,OMP,2,512,0,53048873
taskloop,6,trmm,SMALL_DATASET,2,OMP,2,512,0,72752040
taskloop,7,trmm,SMALL_DATASET,2,OMP,2,512,0,65474420
taskloop,8,trmm,SMALL_DATASET,2,OMP,2,512,0,61902160
taskloop,9,trmm,SMALL_DATASET,2,OMP,2,512,0,68617809
taskloop,10,trmm,SMALL_DATASET,2,OMP,2,512,0,61531192
taskloop,1,trmm,SMALL_DATASET,4,OMP,4,512,0,35049274
taskloop,2,trmm,SMALL_DATASET,4,OMP,4,512,0,41536694
taskloop,3,trmm,SMALL_DATASET,4,OMP,4,512,0,32004531
taskloop,4,trmm,SMALL_DATASET,4,OMP,4,512,0,33270075
taskloop,5,trmm,SMALL_DATASET,4,OMP,4,512,0,33021676
taskloop,6,trmm,SMALL_DATASET,4,OMP,4,512,0,30893346
taskloop,7,trmm,SMALL_DATASET,4,OMP,4,512,0,33675566
taskloop,8,trmm,SMALL_DATASET,4,OMP,4,512,0,36999260
taskloop,9,trmm,SMALL_DATASET,4,OMP,4,512,0,33546176
taskloop,10,trmm,SMALL_DATASET,4,OMP,4,512,0,58615646
taskloop,1,trmm,SMALL_DATASET,8,OMP,8,512,0,34519354
taskloop,2,trmm,SMALL_DATASET,8,OMP,8,512,0,30531955
taskloop,3,trmm,SMALL_DATASET,8,OMP,8,512,0,26060412
taskloop,4,trmm,SMALL_DATASET,8,OMP,8,512,0,24681268
taskloop,5,trmm,SMALL_DATASET,8,OMP,8,512,0,29977956
taskloop,6,trmm,SMALL_DATASET,8,OMP,8,512,0,25946099
taskloop,7,trmm,SMALL_DATASET,8,OMP,8,512,0,21545348
taskloop,8,trmm,SMALL_DATASET,8,OMP,8,512,0,19817514
taskloop,9,trmm,SMALL_DATASET,8,OMP,8,512,0,18412193
taskloop,10,trmm,SMALL_DATASET,8,OMP,8,512,0,18297080
taskloop,1,trmm,SMALL_DATASET,16,OMP,16,512,0,14629534
taskloop,2,trmm,SMALL_DATASET,16,OMP,16,512,0,14717693
taskloop,3,trmm,SMALL_DATASET,16,OMP,16,512,0,14029175
taskloop,4,trmm,SMALL_DATASET,16,OMP,16,512,0,12066750
taskloop,5,trmm,SMALL_DATASET,16,OMP,16,512,0,17510384
taskloop,6,trmm,SMALL_DATASET,16,OMP,16,512,0,13196175
taskloop,7,trmm,SMALL_DATASET,16,OMP,16,512,0,13012820
taskloop,8,trmm,SMALL_DATASET,16,OMP,16,512,0,15820489
taskloop,9,trmm,SMALL_DATASET,16,OMP,16,512,0,13191862
taskloop,10,trmm,SMALL_DATASET,16,OMP,16,512,0,17811259
taskloop,1,trmm,STANDARD_DATASET,1,OMP,1,1024,0,630016868
taskloop,2,trmm,STANDARD_DATASET,1,OMP,1,1024,0,648657635
taskloop,3,trmm,STANDARD_DATASET,1,OMP,1,1024,0,634119834
taskloop,4,trmm,STANDARD_DATASET,1,OMP,1,1024,0,636353898
taskloop,5,trmm,STANDARD_DATASET,1,OMP,1,1024,0,583172435
taskloop,6,trmm,STANDARD_DATASET,1,OMP,1,1024,0,568098314
taskloop,7,trmm,STANDARD_DATASET,1,OMP,1,1024,0,583835619
taskloop,8,trmm,STANDARD_DATASET,1,OMP,1,1024,0,565170085
taskloop,9,trmm,STANDARD_DATASET,1,OMP,1,1024,0,561812686
taskloop,10,trmm,STANDARD_DATASET,1,OMP,1,1024,0,570549462
taskloop,1,trmm,STANDARD_DATASET,2,OMP,2,1024,0,445647823
taskloop,2,trmm,STANDARD_DATASET,2,OMP,2,1024,0,444515043
taskloop,3,trmm,STANDARD_DATASET,2,OMP,2,1024,0,451507650
taskloop,4,trmm,STANDARD_DATASET,2,OMP,2,1024,0,467505530
taskloop,5,trmm,STANDARD_DATASET,2,OMP,2,1024,0,437055328
taskloop,6,trmm,STANDARD_DATASET,2,OMP,2,1024,0,439060506
taskloop,7,trmm,STANDARD_DATASET,2,OMP,2,1024,0,446632278
taskloop,8,trmm,STANDARD_DATASET,2,OMP,2,1024,0,432287894
taskloop,9,trmm,STANDARD_DATASET,2,OMP,2,1024,0,447648400
taskloop,10,trmm,STANDARD_DATASET,2,OMP,2,1024,0,433599213
taskloop,1,trmm,STANDARD_DATASET,4,OMP,4,1024,0,253907989
taskloop,2,trmm,STANDARD_DATASET,4,OMP,4,1024,0,273161600
taskloop,3,trmm,STANDARD_DATASET,4,OMP,4,1024,0,271979859
taskloop,4,trmm,STANDARD_DATASET,4,OMP,4,1024,0,273743005
taskloop,5,trmm,STANDARD_DATASET,4,OMP,4,1024,0,278155283
taskloop,6,trmm,STANDARD_DATASET,4,OMP,4,1024,0,280446645
taskloop,7,trmm,STANDARD_DATASET,4,OMP,4,1024,0,270100664
taskloop,8,trmm,STANDARD_DATASET,4,OMP,4,1024,0,252662068
taskloop,9,trmm,STANDARD_DATASET,4,OMP,4,1024,0,250838980
taskloop,10,trmm,STANDARD_DATASET,4,OMP,4,1024,0,266018359
taskloop,1,trmm,STANDARD_DATASET,8,OMP,8,1024,0,152722701
taskloop,2,trmm,STANDARD_DATASET,8,OMP,8,1024,0,157310253
taskloop,3,trmm,STANDARD_DATASET,8,OMP,8,1024,0,151154236
taskloop,4,trmm,STANDARD_DATASET,8,OMP,8,1024,0,196616388
taskloop,5,trmm,STANDARD_DATASET,8,OMP,8,1024,0,156483639
taskloop,6,trmm,STANDARD_DATASET,8,OMP,8,1024,0,159334320
taskloop,7,trmm,STANDARD_DATASET,8,OMP,8,1024,0,178714050
taskloop,8,trmm,STANDARD_DATASET,8,OMP,8,1024,0,167127675
taskloop,9,trmm,STANDARD_DATASET,8,OMP,8,1024,0,184821878
taskloop,10,trmm,STANDARD_DATASET,8,OMP,8,1024,0,232349025
taskloop,1,trmm,STANDARD_DATASET,16,OMP,16,1024,0,104956474
taskloop,2,trmm,STANDARD_DATASET,16,OMP,16,1024,0,119361594
taskloop,3,trmm,STANDARD_DATASET,16,OMP,16,1024,0,112104017
taskloop,4,trmm,STANDARD_DATASET,16,OMP,16,1024,0,117209011
taskloop,5,trmm,STANDARD_DATASET,16,OMP,16,1024,0,142484324
taskloop,6,trmm,STANDARD_DATASET,16,OMP,16,1024,0,114520461
taskloop,7,trmm,STANDARD_DATASET,16,OMP,16,1024,0,124454129
taskloop,8,trmm,STANDARD_DATASET,16,OMP,16,1024,0,129227604
taskloop,9,trmm,STANDARD_DATASET,16,OMP,16,1024,0,129693323
taskloop,10,trmm,STANDARD_DATASET,16,OMP,16,1024,0,127873852
taskloop,1,trmm,LARGE_DATASET,1,OMP,1,2048,0,4935430859
taskloop,2,trmm,LARGE_DATASET,1,OMP,1,2048,0,4877559112
taskloop,3,trmm,LARGE_DATASET,1,OMP,1,2048,0,4869888317
taskloop,4,trmm,LARGE_DATASET,1,OMP,1,2048,0,4872109877
taskloop,5,trmm,LARGE_DATASET,1,OMP,1,2048,0,4868416379
taskloop,6,trmm,LARGE_DATASET,1,OMP,1,2048,0,4871753888
taskloop,7,trmm,LARGE_DATASET,1,OMP,1,2048,0,4858020687
taskloop,8,trmm,LARGE_DATASET,1,OMP,1,2048,0,4851885266
taskloop,9,trmm,LARGE_DATASET,1,OMP,1,2048,0,4860026255
taskloop,10,trmm,LARGE_DATASET,1,OMP,1,2048,0,4862086894
taskloop,1,trmm,LARGE_DATASET,2,OMP,2,2048,0,3736363206
taskloop,2,trmm,LARGE_DATASET,2,OMP,2,2048,0,3668837164
taskloop,3,trmm,LARGE_DATASET,2,OMP,2,2048,0,3672012890
taskloop,4,trmm,LARGE_DATASET,2,OMP,2,2048,0,3676782646
taskloop,5,trmm,LARGE_DATASET,2,OMP,2,2048,0,3677612354
taskloop,6,trmm,LARGE_DATASET,2,OMP,2,2048,0,3667188550
taskloop,7,trmm,LARGE_DATASET,2,OMP,2,2048,0,3691743732
taskloop,8,trmm,LARGE_DATASET,2,OMP,2,2048,0,3697914550
taskloop,9,trmm,LARGE_DATASET,2,OMP,2,2048,0,3685478641
taskloop,10,trmm,LARGE_DATASET,2,OMP,2,2048,0,3656894933
taskloop,1,trmm,LARGE_DATASET,4,OMP,4,2048,0,2309738640
taskloop,2,trmm,LARGE_DATASET,4,OMP,4,2048,0,2286566744
taskloop,3,trmm,LARGE_DATASET,4,OMP,4,2048,0,2197016664
taskloop,4,trmm,LARGE_DATASET,4,OMP,4,2048,0,2217967555
taskloop,5,trmm,LARGE_DATASET,4,OMP,4,2048,0,2248073717
taskloop,6,trmm,LARGE_DATASET,4,OMP,4,2048,0,2247432778
taskloop,7,trmm,LARGE_DATASET,4,OMP,4,2048,0,2219767296
taskloop,8,trmm,LARGE_DATASET,4,OMP,4,2048,0,2214503964
taskloop,9,trmm,LARGE_DATASET,4,OMP,4,2048,0,2233122117
taskloop,10,trmm,LARGE_DATASET,4,OMP,4,2048,0,2275019986
taskloop,1,trmm,LARGE_DATASET,8,OMP,8,2048,0,1340356680
taskloop,2,trmm,LARGE_DATASET,8,OMP,8,2048,0,1381693868
taskloop,3,trmm,LARGE_DATASET,8,OMP,8,2048,0,1454015948
taskloop,4,trmm,LARGE_DATASET,8,OMP,8,2048,0,1348203616
taskloop,5,trmm,LARGE_DATASET,8,OMP,8,2048,0,1312830117
taskloop,6,trmm,LARGE_DATASET,8,OMP,8,2048,0,1324096182
taskloop,7,trmm,LARGE_DATASET,8,OMP,8,2048,0,1320972146
taskloop,8,trmm,LARGE_DATASET,8,OMP,8,2048,0,1352612188
taskloop,9,trmm,LARGE_DATASET,8,OMP,8,2048,0,1401818330
taskloop,10,trmm,LARGE_DATASET,8,OMP,8,2048,0,1501964442
taskloop,1,trmm,LARGE_DATASET,16,OMP,16,2048,0,987760836
taskloop,2,trmm,LARGE_DATASET,16,OMP,16,2048,0,1074334579
taskloop,3,trmm,LARGE_DATASET,16,OMP,16,2048,0,951330471
taskloop,4,trmm,LARGE_DATASET,16,OMP,16,2048,0,1068281284
taskloop,5,trmm,LARGE_DATASET,16,OMP,16,2048,0,1029625919
taskloop,6,trmm,LARGE_DATASET,16,OMP,16,2048,0,1033445274
taskloop,7,trmm,LARGE_DATASET,16,OMP,16,2048,0,975166059
taskloop,8,trmm,LARGE_DATASET,16,OMP,16,2048,0,995187809
taskloop,9,trmm,LARGE_DATASET,16,OMP,16,2048,0,1035000803
taskloop,10,trmm,LARGE_DATASET,16,OMP,16,2048,0,947158144
taskloop,1,trmm,EXTRALARGE_DATASET,1,OMP,1,4096,0,39824033713
taskloop,2,trmm,EXTRALARGE_DATASET,1,OMP,1,4096,0,38880551738
taskloop,3,trmm,EXTRALARGE_DATASET,1,OMP,1,4096,0,39762846877
taskloop,4,trmm,EXTRALARGE_DATASET,1,OMP,1,4096,0,38990219230
taskloop,5,trmm,EXTRALARGE_DATASET,1,OMP,1,4096,0,38891387861
taskloop,6,trmm,EXTRALARGE_DATASET,1,OMP,1,4096,0,38929925451
taskloop,7,trmm,EXTRALARGE_DATASET,1,OMP,1,4096,0,38936853055
taskloop,8,trmm,EXTRALARGE_DATASET,1,OMP,1,4096,0,38899895604
taskloop,9,trmm,EXTRALARGE_DATASET,1,OMP,1,4096,0,39007696340
taskloop,10,trmm,EXTRALARGE_DATASET,1,OMP,1,4096,0,39010195469
taskloop,1,trmm,EXTRALARGE_DATASET,2,OMP,2,4096,0,29352406977
taskloop,2,trmm,EXTRALARGE_DATASET,2,OMP,2,4096,0,29318694170
taskloop,3,trmm,EXTRALARGE_DATASET,2,OMP,2,4096,0,29532906800
taskloop,4,trmm,EXTRALARGE_DATASET,2,OMP,2,4096,0,29268681842
taskloop,5,trmm,EXTRALARGE_DATASET,2,OMP,2,4096,0,29203567799
taskloop,6,trmm,EXTRALARGE_DATASET,2,OMP,2,4096,0,29200509955
taskloop,7,trmm,EXTRALARGE_DATASET,2,OMP,2,4096,0,29234131891
taskloop,8,trmm,EXTRALARGE_DATASET,2,OMP,2,4096,0,29154992897
taskloop,9,trmm,EXTRALARGE_DATASET,2,OMP,2,4096,0,29154778030
taskloop,10,trmm,EXTRALARGE_DATASET,2,OMP,2,4096,0,29242450658
taskloop,1,trmm,EXTRALARGE_DATASET,4,OMP,4,4096,0,17564625017
taskloop,2,trmm,EXTRALARGE_DATASET,4,OMP,4,4096,0,17701434304
taskloop,3,trmm,EXTRALARGE_DATASET,4,OMP,4,4096,0,17742416795
taskloop,4,trmm,EXTRALARGE_DATASET,4,OMP,4,4096,0,17737770600
taskloop,5,trmm,EXTRALARGE_DATASET,4,OMP,4,4096,0,17589034276
taskloop,6,trmm,EXTRALARGE_DATASET,4,OMP,4,4096,0,17776797606
taskloop,7,trmm,EXTRALARGE_DATASET,4,OMP,4,4096,0,17830193177
taskloop,8,trmm,EXTRALARGE_DATASET,4,OMP,4,4096,0,18116364345
taskloop,9,trmm,EXTRALARGE_DATASET,4,OMP,4,4096,0,17978400907
taskloop,10,trmm,EXTRALARGE_DATASET,4,OMP,4,4096,0,17719280003
taskloop,1,trmm,EXTRALARGE_DATASET,8,OMP,8,4096,0,11457818730
taskloop,2,trmm,EXTRALARGE_DATASET,8,OMP,8,4096,0,11480598805
taskloop,3,trmm,EXTRALARGE_DATASET,8,OMP,8,4096,0,11596627129
taskloop,4,trmm,EXTRALARGE_DATASET,8,OMP,8,4096,0,11469759318
taskloop,5,trmm,EXTRALARGE_DATASET,8,OMP,8,4096,0,11679282384
taskloop,6,trmm,EXTRALARGE_DATASET,8,OMP,8,4096,0,11373893966
taskloop,7,trmm,EXTRALARGE_DATASET,8,OMP,8,4096,0,12160966496
taskloop,8,trmm,EXTRALARGE_DATASET,8,OMP,8,4096,0,11831447845
taskloop,9,trmm,EXTRALARGE_DATASET,8,OMP,8,4096,0,11768129965
taskloop,10,trmm,EXTRALARGE_DATASET,8,OMP,8,4096,0,12289322893
taskloop,1,trmm,EXTRALARGE_DATASET,16,OMP,16,4096,0,9037896692
taskloop,2,trmm,EXTRALARGE_DATASET,16,OMP,16,4096,0,9182972166
taskloop,3,trmm,EXTRALARGE_DATASET,16,OMP,16,4096,0,9330811368
taskloop,4,trmm,EXTRALARGE_DATASET,16,OMP,16,4096,0,8901588364
taskloop,5,trmm,EXTRALARGE_DATASET,16,OMP,16,4096,0,9238728774
taskloop,6,trmm,EXTRALARGE_DATASET,16,OMP,16,4096,0,9275572665
taskloop,7,trmm,EXTRALARGE_DATASET,16,OMP,16,4096,0,9273256938
taskloop,8,trmm,EXTRALARGE_DATASET,16,OMP,16,4096,0,8972232324
taskloop,9,trmm,EXTRALARGE_DATASET,16,OMP,16,4096,0,8957727980
taskloop,10,trmm,EXTRALARGE_DATASET,16,OMP,16,4096,0,9279720199
